,open_re_mean,close_re_mean,open_re_std,close_re_std
Paritym17092500Strategy,-3.27203248149,0.632911392405,0.441977287333,0.615782362035
Paritym17092550Strategy,-3.06429074683,0.208049553781,0.478065227438,0.584259356105
Paritym17092600Strategy,-3.03021095074,0.205896102378,0.523110554772,0.57979654381
Paritym17092650Strategy,-3.91665234576,-0.490977831242,0.525253270937,0.611106134755
Paritym17092700Strategy,-3.72822229853,-0.483630952381,0.619352395029,0.664688505135
Paritym17092750Strategy,-3.446138501,-0.399772014819,0.628051439929,0.569406158643
Paritym17092800Strategy,-3.5337806571,-0.443197593707,0.628444791608,0.609044131875
Paritym17092850Strategy,-3.43588934167,-0.219250416117,0.5581539292,0.529015930912
Paritym17092900Strategy,-3.03266608645,0.648592979402,0.500368822098,0.545889690671
Paritym17092950Strategy,-2.62638097453,1.10207582277,0.520152150615,0.497467472403
Paritym17093000Strategy,-3.13147770329,0.717254444768,0.68914225873,0.628029477833
Paritym17093050Strategy,-2.67292437864,1.26825900464,0.475196129033,0.406879664545
Paritym17093100Strategy,-2.90185316336,0.696234655335,0.446485978668,0.510802785832
